Project,BugID,BugKey,File,PatternType,Confidence,EvidenceSource,BuggyLine,FixedLine,AssignmentLine,OverwriteLine,CorrectSymbol,WrongSymbol,BuggySnippet,FixedSnippet,DiffHunk,Reason
Codec,1,Codec-1,src/java/org/apache/commons/codec/language/Caverphone.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,59,,59,62,,txt,txt = txt.toLowerCase();,,public class Caverphone implements StringEncoder {,Variable 'txt' assigned at line 59 and overwritten at line 62 before any read.
Codec,10,Codec-10,src/java/org/apache/commons/codec/language/Caverphone.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,76,,76,79,,txt,"txt = txt.replaceAll(""^mb"", ""m2"");",,public class Caverphone implements StringEncoder {,Variable 'txt' assigned at line 76 and overwritten at line 79 before any read.
Compress,22,Compress-22,src/main/java/org/apache/commons/compress/compressors/bzip2/BZip2CompressorInputStream.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,199,202,199,,,retChar,final int retChar = this.currentChar;,return setupBlock();,public class BZip2CompressorInputStream extends CompressorInputStream implements,Local variable 'retChar' is declared in changed buggy code and has no reads in its method.
Compress,35,Compress-35,src/main/java/org/apache/commons/compress/archivers/tar/TarUtils.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,594,594,594,,,storedSum,long storedSum = 0;,"long storedSum = parseOctal(header, CHKSUM_OFFSET, CHKSUMLEN);",public class TarUtils {,Local variable 'storedSum' is declared in changed buggy code and has no reads in its method.
JacksonDatabind,3,JacksonDatabind-3,src/main/java/com/fasterxml/jackson/databind/deser/std/StringArrayDeserializer.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,66,,66,68,,value,value = _elementDeserializer.getNullValue();,,public final class StringArrayDeserializer,Variable 'value' assigned at line 66 and overwritten at line 68 before any read.
Jsoup,18,Jsoup-18,src/main/java/org/jsoup/parser/CharacterReader.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,99,100,99,,,data,"String data = input.substring(pos, input.length() - 1);","String data = input.substring(pos, input.length());",class CharacterReader {,Local variable 'data' is declared in changed buggy code and has no reads in its method.
Jsoup,28,Jsoup-28,src/main/java/org/jsoup/parser/Tokeniser.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,136,138,136,,,origNameRef,String origNameRef = new String(nameRef);,boolean found = (Entities.isBaseNamedEntity(nameRef) || (Entities.isNamedEntity(nameRef) && looksLegit));,class Tokeniser {,Local variable 'origNameRef' is declared in changed buggy code and has no reads in its method.
Jsoup,50,Jsoup-50,src/main/java/org/jsoup/helper/DataUtil.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,128,,128,129,,docData,docData = Charset.forName(defaultCharset).decode(byteData).toString();,,public final class DataUtil {,Variable 'docData' assigned at line 128 and overwritten at line 129 before any read.
Jsoup,73,Jsoup-73,src/main/java/org/jsoup/helper/W3CDom.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,73,74,73,,,namespaces,"private final HashMap<String, String> namespaces = new HashMap<>();","private final Stack<HashMap<String, String>> namespacesStack = new Stack<>(); // stack of namespaces, prefix => urn",public class W3CDom {,Local variable 'namespaces' is declared in changed buggy code and has no reads in its method.
Lang,18,Lang-18,src/main/java/org/apache/commons/lang3/time/FastDateFormat.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,498,,498,503,,rule,rule = TwoDigitYearField.INSTANCE;,,public class FastDateFormat extends Format {,Variable 'rule' assigned at line 498 and overwritten at line 503 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,318,,318,356,,milliseconds,"milliseconds -= reduceAndCorrect(start, end, Calendar.MILLISECOND, milliseconds);",,public class DurationFormatUtils {,Variable 'milliseconds' assigned at line 318 and overwritten at line 356 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,319,,319,352,,seconds,"seconds -= reduceAndCorrect(start, end, Calendar.SECOND, seconds);",,public class DurationFormatUtils {,Variable 'seconds' assigned at line 319 and overwritten at line 352 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,320,,320,348,,minutes,"minutes -= reduceAndCorrect(start, end, Calendar.MINUTE, minutes);",,public class DurationFormatUtils {,Variable 'minutes' assigned at line 320 and overwritten at line 348 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,321,,321,344,,hours,"hours -= reduceAndCorrect(start, end, Calendar.HOUR_OF_DAY, hours);",,public class DurationFormatUtils {,Variable 'hours' assigned at line 321 and overwritten at line 344 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,322,,322,335,,days,"days -= reduceAndCorrect(start, end, Calendar.DAY_OF_MONTH, days);",,public class DurationFormatUtils {,Variable 'days' assigned at line 322 and overwritten at line 335 before any read.
Lang,63,Lang-63,src/java/org/apache/commons/lang/time/DurationFormatUtils.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,323,,323,331,,months,"months -= reduceAndCorrect(start, end, Calendar.MONTH, months);",,public class DurationFormatUtils {,Variable 'months' assigned at line 323 and overwritten at line 331 before any read.
Math,9,Math-9,src/main/java/org/apache/commons/math3/geometry/euclidean/threed/Line.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,87,87,87,,,reverted,"final Line reverted = new Line(zero, zero.subtract(direction));",final Line reverted = new Line(this);,"public class Line implements Embedding<Euclidean3D, Euclidean1D> {",Local variable 'reverted' is declared in changed buggy code and has no reads in its method.
Math,40,Math-40,src/main/java/org/apache/commons/math/analysis/solvers/BracketingNthOrderBrentSolver.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,238,,238,241,,targetY,targetY = -REDUCTION_FACTOR * yA;,,public class BracketingNthOrderBrentSolver,Variable 'targetY' assigned at line 238 and overwritten at line 241 before any read.
Math,44,Math-44,src/main/java/org/apache/commons/math/ode/AbstractIntegrator.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,280,,280,342,,resetOccurred,resetOccurred = false;,,public abstract class AbstractIntegrator implements FirstOrderIntegrator {,Variable 'resetOccurred' assigned at line 280 and overwritten at line 342 before any read.
Math,77,Math-77,src/main/java/org/apache/commons/math/linear/OpenMapRealVector.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,499,,499,,,max,double max = 0;,,public class OpenMapRealVector extends AbstractRealVector implements SparseRealV,Local variable 'max' is declared in changed buggy code and has no reads in its method.
Math,95,Math-95,src/java/org/apache/commons/math/distribution/FDistributionImpl.java,UNUSED_LOCAL_VARIABLE,DIFF_CONFIRMED,patch+hunk+buggy_method_scan,144,144,144,,,ret,double ret;,double ret = 1.0;,public class FDistributionImpl,Local variable 'ret' is declared in changed buggy code and has no reads in its method.
Math,96,Math-96,src/java/org/apache/commons/math/complex/Complex.java,ASSIGNED_THEN_OVERWRITTEN,DIFF_CONFIRMED,patch+hunk+buggy_method_flow,258,,258,262,,ret,ret = (Double.doubleToRawLongBits(real) == Double.doubleToRawLongBits(rhs.getReal())) && (Double.doubleToRawLongBits(imaginary) == Double.doubleToRawLongBits(rhs.getImaginary()));,,public class Complex implements Serializable  {,Variable 'ret' assigned at line 258 and overwritten at line 262 before any read.
